iter	Passed	Remaining
462	763	885
463	764	883
464	765	881
465	766	878
466	767	876
467	769	874
468	770	872
469	772	871
470	774	869
471	775	867
472	776	864
473	777	862
474	778	860
475	779	858
476	780	855
477	781	853
478	782	851
479	783	849
480	785	847
481	788	847
482	789	845
483	791	843
484	792	841
485	793	839
486	794	837
487	796	835
488	797	833
489	798	830
490	799	828
491	803	829
492	804	827
493	806	825
494	807	823
495	808	821
496	809	819
497	810	816
498	811	814
499	812	812
500	813	810
501	815	809
502	816	806
503	817	804
504	818	802
505	819	800
506	820	798
507	822	796
508	824	794
509	825	792
510	826	790
511	827	788
512	828	786
513	830	785
514	832	783
515	833	781
516	834	779
517	835	777
518	837	775
519	838	773
520	839	771
521	840	769
522	841	767
523	842	765
524	843	763
525	845	762
526	846	760
527	848	758
528	849	756
529	850	754
530	851	752
531	853	750
532	854	748
533	855	746
534	856	744
535	857	742
536	858	740
537	860	739
538	862	737
539	863	735
540	864	733
541	866	731
542	867	730
543	868	728
544	869	726
545	870	723
546	871	721
547	872	719
548	874	718
549	876	717
550	877	715
551	879	713
552	880	711
553	881	709
554	882	707
555	883	705
556	884	703
557	885	701
558	887	699
559	890	700
560	892	698
561	893	696
562	894	694
563	896	692
564	897	690
565	898	688
566	899	686
567	900	684
568	901	683
569	903	681
570	905	680
571	907	679
572	908	677
573	909	675
574	911	673
575	912	671
576	913	669
577	914	667
578	916	666
579	916	663
580	918	662
581	920	661
582	922	659
583	923	657
584	924	655
585	925	654
586	926	652
587	927	650
588	928	648
589	929	646
590	930	644
591	931	642
592	933	640
593	934	638
594	936	637
595	938	635
596	939	634
597	940	632
598	941	630
599	942	628
600	943	626
601	945	624
602	946	622
603	947	620
604	949	620
605	951	618
606	952	616
607	953	614
608	954	613
609	955	611
610	957	609
611	958	607
612	959	605
613	960	603
614	961	601
615	962	600
616	965	599
617	967	597
618	968	596
619	969	594
620	971	592
621	972	590
622	973	588
623	974	587
624	975	585
625	976	583
626	977	581
627	978	579
628	980	578
629	982	576
630	983	574
631	984	573
632	985	571
633	986	569
634	988	567
635	988	566
636	989	564
637	990	562
638	991	560
639	993	558
640	995	557
641	996	555
642	997	553
643	998	552
644	999	550
645	1000	548
646	1001	546
647	1002	544
648	1003	542
649	1004	541
650	1005	539
651	1006	537
652	1009	536
653	1011	535
654	1012	533
655	1013	531
656	1014	529
657	1015	527
658	1016	526
659	1017	524
660	1018	522
661	1019	520
662	1021	519
663	1022	517
664	1024	516
665	1026	514
666	1027	512
667	1028	511
668	1029	509
669	1030	507
670	1031	505
671	1032	504
672	1033	502
673	1035	500
674	1036	498
675	1037	497
676	1039	495
677	1041	494
678	1042	492
679	1043	490
680	1044	489
681	1046	487
682	1047	486
683	1048	484
684	1049	482
685	1050	480
686	1052	479
687	1055	478
688	1056	476
689	1057	475
690	1058	473
691	1059	471
692	1061	470
693	1062	468
694	1063	466
695	1064	464
696	1065	463
697	1068	462
698	1069	460
699	1071	459
700	1072	457
701	1073	455
702	1074	454
703	1075	452
704	1077	450
705	1078	448
706	1079	447
707	1080	445
708	1081	443
709	1097	448
710	1099	447
711	1101	445
712	1102	443
713	1104	442
714	1105	440
715	1106	438
716	1107	437
717	1108	435
718	1109	433
719	1111	432
720	1112	430
721	1113	428
722	1115	427
723	1117	425
724	1118	424
725	1119	422
726	1120	420
727	1121	419
728	1122	417
729	1123	415
730	1125	414
731	1126	412
732	1127	410
733	1128	409
734	1130	407
735	1132	406
736	1133	404
737	1135	402
738	1136	401
739	1137	399
740	1138	397
741	1139	396
742	1140	394
743	1141	392
744	1142	391
745	1144	389
746	1146	388
747	1147	386
748	1148	384
749	1149	383
750	1150	381
751	1151	379
752	1152	378
753	1153	376
754	1154	374
755	1155	373
756	1156	371
757	1158	369
758	1159	368
759	1161	366
760	1162	365
761	1163	363
762	1164	361
763	1165	360
764	1166	358
765	1167	356
766	1168	355
767	1169	353
768	1170	351
769	1171	350
770	1173	348
771	1174	347
772	1176	345
773	1177	343
774	1178	342
775	1179	340
776	1180	338
777	1181	337
778	1182	335
779	1183	333
780	1184	332
781	1185	330
782	1187	329
783	1188	327
784	1190	325
785	1191	324
786	1192	322
787	1193	321
788	1194	319
789	1195	317
790	1197	316
791	1198	314
792	1199	313
793	1200	311
794	1201	309
795	1202	308
796	1204	306
797	1205	305
798	1206	303
799	1207	301
800	1208	300
801	1209	298
802	1210	297
803	1211	295
804	1212	293
805	1213	292
806	1214	290
807	1215	288
808	1216	287
809	1218	285
810	1219	284
811	1220	282
812	1221	280
813	1222	279
814	1223	277
815	1224	276
816	1225	274
817	1226	272
818	1227	271
819	1228	269
820	1229	268
821	1230	266
822	1232	264
823	1234	263
824	1235	262
825	1236	260
826	1237	258
827	1238	257
828	1240	255
829	1241	254
830	1242	252
831	1243	250
832	1244	249
833	1245	247
834	1246	246
835	1247	244
836	1249	243
837	1250	241
838	1251	240
839	1253	238
840	1254	237
841	1256	235
842	1257	234
843	1258	232
844	1259	231
845	1260	229
846	1262	227
847	1263	226
848	1264	224
849	1265	223
850	1267	221
851	1268	220
852	1269	218
853	1270	217
854	1271	215
855	1272	214
856	1273	212
857	1274	210
858	1275	209
859	1276	207
860	1278	206
861	1279	204
862	1280	203
863	1281	201
864	1282	200
865	1283	198
866	1284	197
867	1285	195
868	1286	193
869	1287	192
870	1288	190
871	1289	189
872	1290	187
873	1292	186
874	1293	184
875	1294	183
876	1295	181
877	1296	180
878	1297	178
879	1299	177
880	1300	175
881	1301	174
882	1302	172
883	1303	171
884	1304	169
885	1305	167
886	1310	166
887	1311	165
888	1312	163
889	1313	162
890	1314	160
891	1315	159
892	1317	157
893	1318	156
894	1319	154
895	1320	153
896	1321	151
897	1322	150
898	1323	148
899	1325	147
900	1326	145
901	1327	144
902	1328	142
903	1329	141
904	1330	139
905	1331	138
906	1332	136
907	1333	135
908	1334	133
